Cantidad_Ventas,Fecha,Monto_Ventas,Monto_Compras,Prod_Disponibles,Tipo
27,07-08-2020,13.50,12.45,si,savila
34,08-08-2020,17,15,si,savila
46,09-08-2020,23,15.34,si,savila
32,10-08-2020,16,5.55,no,savila
25,11-08-2020,12.50,11.40,si,savila
46,12-08-2020,23,12.56,si,savila
41,13-08-2020,20.50,13.40,si,savila
37,14-08-2020,18.50,5.55,no,savila
41,15-08-2020,20.50,12.34,si,savila
50,16-08-2020,25,13.45,si,savila
47,17-08-2020,23.50,13.32,si,savila
43,18-08-2020,21.50,13.35,si,savila
42,19-08-2020,21,13.45,si,savila
29,20-08-2020,14.50,4.05,no,savila
36,21-08-2020,18,13.30,si,savila
48,22-08-2020,24,13.45,si,savila
36,23-08-2020,18,13.35,si,savila
35,24-08-2020,17.50,4.35,no,savila
37,25-08-2020,18.50,13.20,no,savila
45,26-08-2020,22.50,13.36,si,savila
29,27-08-2020,14.50,13.05,si,savila
47,28-08-2020,23.50,13.10,si,savila
29,29-08-2020,14.50,4,no,savila
29,30-08-2020,14.50,13.65,si,savila
40,31-08-2020,20,13.67,si,savila
28,01-09-2020,14,4.35,no,savila
38,02-09-2020,19,13.65,si,savila
28,03-09-2020,14,4.22,no,savila
50,04-09-2020,25,13.67,no,savila
29,05-09-2020,14.50,13.87,si,savila
44,06-09-2020,22,13.30,si,savila
43,07-09-2020,21.50,13.43,si,savila
36,08-09-2020,18,4.54,no,savila
42,09-09-2020,21,13.43,no,savila
27,10-09-2020,13.50,12.87,si,savila
28,11-09-2020,14,4.51,no,savila
33,12-09-2020,16.50,13.44,si,savila
33,13-09-2020,16.50,13.02,si,savila
25,14-09-2020,12.50,4.57,no,savila
28,15-09-2020,14,13,si,savila
32,16-09-2020,16,4.23,no,savila
38,17-09-2020,19,13.54,no,savila
41,18-09-2020,20.50,13.22,si,savila
35,19-09-2020,17.50,13.46,si,savila
39,20-09-2020,19.50,4.26,no,savila
41,21-09-2020,20.50,13.23,no,savila
50,22-09-2020,25,13.69,no,savila
34,23-09-2020,17,13.89,si,savila
37,24-09-2020,18.50,13,si,savila
35,25-09-2020,17.50,13.66,no,savila
49,26-09-2020,24.50,13.76,si,horchata
41,27-09-2020,20.50,4.86,no,horchata
29,28-09-2020,14.50,13.55,si,horchata
48,29-09-2020,24,13.34,si,horchata
30,30-09-2020,15,13.67,si,horchata
39,01-10-2020,19.50,4.55,no,horchata
46,02-10-2020,23,13.69,no,horchata
41,03-10-2020,20.50,13.44,si,horchata
41,04-10-2020,20.50,13.53,si,horchata
28,05-10-2020,14,4.40,no,horchata
40,06-10-2020,20,13.90,no,horchata
41,07-10-2020,20.50,13.10,si,horchata
40,08-10-2020,20,13.50,si,horchata
50,09-10-2020,25,13.54,si,horchata
41,10-10-2020,20.50,13.34,si,horchata
45,11-10-2020,22.50,13.57,si,horchata
38,12-10-2020,19,4.23,no,horchata
44,13-10-2020,22,13.45,no,horchata
41,14-10-2020,20.50,13.23,si,horchata
45,15-10-2020,22.50,13.89,si,horchata
27,16-10-2020,13.50,4.10,no,horchata
47,17-10-2020,23.50,13.34,si,horchata
49,18-10-2020,24.50,13.67,si,horchata
49,19-10-2020,24.50,13.98,si,horchata
40,20-10-2020,20,4.65,no,horchata
30,21-10-2020,15,4.66,no,horchata
50,22-10-2020,25,13.45,si,horchata
47,23-10-2020,23.50,13.44,si,horchata
48,24-10-2020,24,13.22,si,horchata
30,25-10-2020,15,4.33,no,horchata
31,26-10-2020,15.50,13.23,si,horchata
26,27-10-2020,13,4.56,no,horchata
46,28-10-2020,23,13.47,si,horchata
45,29-10-2020,22.50,13.89,si,horchata
31,30-10-2020,15.50,4.36,no,horchata
37,31-10-2020,18.50,13.26,si,horchata
29,01-11-2020,14.50,4.82,no,horchata
39,02-11-2020,19.50,13.74,si,horchata
41,03-11-2020,21.50,13.84,si,horchata
33,04-11-2020,16.50,4.27,no,horchata
26,05-11-2020,13,4.50,no,horchata
36,06-11-2020,18,13.74,si,horchata
35,07-11-2020,17.50,13.90,si,horchata
27,08-11-2020,13.50,13.21,si,horchata
41,09-11-2020,21.50,13,si,horchata
50,10-11-2020,25,13.55,si,horchata
27,11-11-2020,13.50,13.33,si,horchata
39,12-11-2020,19.50,13.21,si,horchata
25,13-11-2020,12.50,11.24,si,horchata
34,14-11-2020,17,13.29,si,horchata
33,15-11-2020,16.50,13.55,si,linaza
32,16-11-2020,16,13.05,si,linaza
31,17-11-2020,15.50,13.23,si,linaza
30,18-11-2020,15,13.35,si,linaza
29,19-11-2020,14.50,13.66,si,linaza
28,20-11-2020,14,13.27,si,linaza
27,21-11-2020,13.50,12.22,si,linaza
26,22-11-2020,13,12.66,si,linaza
25,23-11-2020,12.50,11.62,si,linaza
24,24-11-2020,12,11.78,si,linaza
23,25-11-2020,11.50,10.37,si,linaza
22,26-11-2020,11,10.33,si,linaza
21,27-11-2020,10.50,9.20,si,linaza
20,28-11-2020,10,9.31,si,linaza
19,29-11-2020,9.50,4.10,no,linaza
18,30-11-2020,9,4.29,no,linaza
17,01-12-2020,8.50,4.45,no,linaza
16,02-12-2020,8,4.65,no,linaza
15,03-12-2020,7.50,4,no,linaza
14,04-12-2020,7,4.56,no,linaza
13,03-12-2020,6.50,4.15,no,linaza
12,04-12-2020,6,4.02,no,linaza
11,05-12-2020,5.50,4.38,no,linaza
10,06-12-2020,5,4.52,no,linaza
9,07-12-2020,4.50,3.79,no,linaza
8,08-12-2020,4,3.76,no,linaza
7,09-12-2020,3.50,2.67,no,linaza
6,10-12-2020,3,4.61,no,linaza
4,11-12-2020,2,4.67,no,linaza
2,12-12-2020,1,4.83,no,linaza
4,13-12-2020,2,4.67,no,linaza
6,14-12-2020,3,4.24,no,linaza
8,15-12-2020,4,3.73,no,linaza
10,16-12-2020,5,4.75,no,linaza
11,17-12-2020,5.50,4.36,no,linaza
13,18-12-2020,6.50,4.89,no,linaza
15,19-12-2020,7.50,4.38,no,linaza
17,20-12-2020,8.50,4.26,no,linaza
16,21-12-2020,8,4.76,no,linaza
15,22-12-2020,7.50,4.65,no,linaza
15,23-12-2020,7.50,4.27,no,linaza
14,24-12-2020,7,4.29,no,linaza
17,25-12-2020,8.50,4.37,no,linaza
13,26-12-2020,6.50,4.08,no,linaza
12,27-12-2020,6,4.26,no,linaza
5,28-12-2020,2.50,1.69,no,linaza
10,29-12-2020,5,4.70,no,linaza
13,30-12-2020,6.50,4.25,no,linaza
7,31-12-2020,3.50,4.62,no,linaza
9,01-01-2021,4.50,4.20,no,linaza
10,02-01-2020,5,4.28,no,linaza
11,03-01-2020,5.50,4.79,no,linaza
16,04-01-2020,8,4.02,no,linaza
8,05-01-2020,4,3.48,no,linaza
10,06-01-2020,5,4.78,no,horchata
14,07-01-2020,7,4.38,no,horchata
5,08-01-2020,2.50,4.89,no,horchata
23,09-01-2020,11.50,10.35,si,horchata
10,10-01-2020,5,4.84,no,savila
15,11-01-2020,7.50,4.73,no,savila
17,12-01-2020,8.50,4,no,savila
29,13-01-2020,14.50,13,si,savila
